Player,Team,Age,Height,Weight,GP,MIN,FREQ,DFGM,DFGA,FG%
JaVale McGee,DEN,33,84,270,46,678,51.9%,76.0,162.0,60.8
Jahlil Okafor,DET,25,82,270,27,347,49.0%,63.0,95.0,61.3
Jakob Poeltl,SAS,25,85,245,69,1845,53.4%,299.0,596.0,61.7
Jalen McDaniels,CHA,23,81,205,47,904,38.0%,94.0,143.0,61.1
Jalen Smith,PHX,21,82,215,27,156,36.1%,18.0,26.0,62.4
James Wiseman,GSW,20,84,240,39,836,48.2%,118.0,192.0,61.8
Jaren Jackson Jr.,MEM,21,83,242,11,258,51.6%,35.0,66.0,59.8
Jarrett Allen,CLE,23,83,243,63,1864,56.3%,250.0,481.0,62.3
Jaxson Hayes,NOP,21,83,220,60,964,47.5%,94.0,174.0,61.8
Joel Embiid,PHI,27,84,280,51,1585,57.9%,234.0,434.0,61.8
John Collins,ATL,23,81,235,63,1848,44.7%,217.0,372.0,61.7
Jonas Valanciunas,MEM,29,83,265,62,1755,51.9%,234.0,416.0,62.1
Jontay Porter,MEM,21,83,240,11,54,63.0%,10.0,17.0,65.0
Julius Randle,NYK,26,80,250,71,2667,39.9%,215.0,377.0,62.9
Justin Patton,HOU,24,83,241,13,247,52.5%,39.0,62.0,61.4
Jusuf Nurkic,POR,26,83,290,37,880,53.5%,128.0,237.0,62.7
Karl-Anthony Towns,MIN,25,83,248,50,1689,48.5%,197.0,326.0,63.1
Kelly Olynyk,HOU,30,83,240,70,1997,37.3%,200.0,334.0,61.7
Kevin Love,CLE,32,80,251,25,622,44.6%,69.0,100.0,61.9
Khem Birch,TOR,28,81,233,67,1529,45.1%,180.0,307.0,60.6
Killian Tillie,MEM,23,81,220,18,182,25.8%,11.0,17.0,70.6
Kristaps Porzingis,DAL,25,87,240,43,1327,51.0%,191.0,326.0,61.9
LaMarcus Aldridge,BKN,35,83,250,26,674,44.4%,82.0,150.0,61.5
Larry Nance Jr.,CLE,28,79,245,35,1091,35.7%,94.0,147.0,62.7
Lauri Markkanen,CHI,24,84,240,51,1317,41.6%,126.0,212.0,61.2
Luke Kornet,BOS,25,86,250,31,347,50.0%,58.0,113.0,61.7
Marc Gasol,LAL,36,83,255,52,993,49.3%,156.0,263.0,61.4
Mason Plumlee,DET,31,83,254,56,1499,53.9%,225.0,372.0,63.3
Meyers Leonard,MIA,29,84,260,3,29,40.0%,3.0,4.0,63.6
Mfiondu Kabengele,CLE,23,81,250,39,280,47.6%,28.0,60.0,61.1
Mike Muscala,OKC,29,82,240,35,645,52.1%,90.0,159.0,62.2
Mitchell Robinson,NYK,23,84,240,31,853,49.1%,94.0,164.0,61.3
Mo Bamba,ORL,23,84,231,46,725,53.9%,120.0,202.0,62.4
Montrezl Harrell,LAL,27,79,240,69,1580,41.4%,167.0,281.0,61.5
Moritz Wagner,ORL,24,83,245,45,722,45.0%,106.0,161.0,61.6
Moses Brown,BOS,21,86,245,43,920,55.4%,126.0,227.0,61.9
Myles Turner,IND,25,83,250,47,1455,56.7%,236.0,485.0,61.8
Nathan Knight,ATL,23,82,253,33,279,33.6%,19.0,44.0,60.5
Naz Reid,MIN,21,81,264,70,1347,51.3%,197.0,371.0,61.8
Nerlens Noel,NYK,27,83,220,64,1547,62.7%,238.0,466.0,61.7
Nick Richards,CHA,23,84,245,18,63,36.7%,7.0,11.0,59.9
Nicolas Claxton,BKN,22,83,215,32,594,36.5%,59.0,118.0,61.8
Nikola Jokic,DEN,26,83,284,72,2488,50.1%,346.0,545.0,62.1
Nikola Vucevic,CHI,30,83,260,70,2348,49.8%,306.0,486.0,62.3
Norvel Pelle,NYK,28,82,231,13,83,45.7%,7.0,16.0,62.7
Onyeka Okongwu,ATL,20,80,235,50,601,48.1%,90.0,153.0,60.6
Reggie Perry,BKN,21,80,250,26,211,34.8%,18.0,31.0,60.9
Robert Williams III,BOS,23,80,237,52,985,42.2%,101.0,188.0,60.7
Robin Lopez,WAS,33,84,281,71,1354,49.6%,171.0,339.0,61.9
Rudy Gobert,UTA,29,85,258,71,2187,46.4%,297.0,619.0,62.5
Steven Adams,NOP,27,83,265,58,1604,40.7%,173.0,280.0,62.9
Tacko Fall,BOS,25,89,311,19,136,47.1%,20.0,40.0,61.2
Thomas Bryant,WAS,23,82,248,10,271,37.6%,35.0,53.0,62.0
Thon Maker,CLE,24,84,221,8,76,38.6%,12.0,17.0,59.2
Tony Bradley,OKC,23,82,248,42,684,51.6%,86.0,164.0,62.2
Tristan Thompson,BOS,30,81,254,54,1287,42.3%,147.0,250.0,62.6
Udoka Azubuike,UTA,21,82,280,15,57,32.0%,7.0,8.0,59.4
Vernon Carey Jr.,CHA,20,81,270,19,115,51.0%,13.0,26.0,60.1
Vincent Poirier,PHI,27,84,235,10,39,40.9%,7.0,9.0,58.8
Wendell Carter Jr.,ORL,22,82,270,54,1375,52.4%,172.0,333.0,62.6
Willie Cauley-Stein,DAL,27,84,240,53,906,42.8%,117.0,206.0,61.3
Willy Hernangomez,NOP,27,83,250,47,846,48.4%,125.0,202.0,62.0
Zeke Nnaji,DEN,20,81,240,42,397,32.5%,42.0,54.0,62.5
